NCT_ID,Sponsor,Study_Name,Start_Date,End_Date,Current_Status,Facility,Lat,Lon,City,State,Zip,Country,Hover_City,Facility_dedupe,Dedupe_City
NCT02670694,Baylor College of Medicine,"Sleep Abnormalities in Rare Genetic Disorders: Angelman Syndrome, Rett Syndrome, and Prader Willi",2015-11-06,2013-07,COMPLETED,University of Alabama at Birmingham,33.52066,-86.80249,Birmingham,Alabama,35233,United States,"Birmingham, Alabama, United States",University of Alabama at Birmingham,"Birmingham, Alabama, United States"
NCT02670694,Baylor College of Medicine,"Sleep Abnormalities in Rare Genetic Disorders: Angelman Syndrome, Rett Syndrome, and Prader Willi",2015-11-06,2013-07,COMPLETED,"University of California, Irvine Medical Center",33.66946,-117.82311,Irvine,California,92868,United States,"Irvine, California, United States","University of California, Irvine Medical Center","Irvine, California, United States"
NCT02670694,Baylor College of Medicine,"Sleep Abnormalities in Rare Genetic Disorders: Angelman Syndrome, Rett Syndrome, and Prader Willi",2015-11-06,2013-07,COMPLETED,Rady Children's Hospital,32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT06617429,Ultragenyx Pharmaceutical Inc,"A Phase 3, Randomized, Double-blind, Sham-controlled Study Investigating the Efficacy and Safety of GTX-102 in Pediatric Subjects with Angelman Syndrome",2024-09-24,2027-11,RECRUITING,"UCSD, Rady Children's Hospital",32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT05630066,Hoffmann-La Roche,"A Phase IIa Multicenter, Open-Label, 12-Week Study to Investigate the Pharmacokinetics and Safety and to Provide Proof of Mechanism of Alogabat in Children and Adolescents Aged 5-17 Years With Angelman Syndrome (AS) With Deletion Genotype",2022-11-09,2025-09-12,RECRUITING,Rady Children's Hospital - San Diego,32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT05127226,"Ionis Pharmaceuticals, Inc.","HALOS: A Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Intrathecally Administered ION582 in Patients With Angelman Syndrome",2021-11-09,2029-03,ACTIVE_NOT_RECRUITING,Rady Children's Hospital,32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT04106557,Ovid Therapeutics Inc.,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Phase 3 Study to Evaluate the Efficacy and Safety of OV101 in Pediatric Individuals With Angelman Syndrome",2019-09-25,2020-11-02,COMPLETED,Ovid Therapeutics Investigative Site,32.71533,-117.15726,San Diego,California,32123,United States,"San Diego, California, United States",Ovid Therapeutics Investigative Site,"San Diego, California, United States"
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,"University of California, San Diego - Rady Children's Hospital",32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,Rady Children's Hospital,32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT04428281,Hoffmann-La Roche,"An Open-label, Multicenter Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of RO7248824 in Participants With Angelman Syndrome",2020-06-09,2025-07-31,ACTIVE_NOT_RECRUITING,Rady Children's Hospital - San Diego,32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT03882918,Ovid Therapeutics Inc.,"An Open-Label Study to Evaluate the Long-Term Safety, Tolerability, and Efficacy of OV101 in Individuals With Angelman Syndrome",2019-03-18,2021-06-30,TERMINATED,Ovid Therapeutics Investigative Site,32.71533,-117.15726,San Diego,California,32123,United States,"San Diego, California, United States",Ovid Therapeutics Investigative Site,"San Diego, California, United States"
NCT00296764,Boston Children's Hospital,Angelman Syndrome Natural History Study,2006-02-24,2014-08,COMPLETED,Rady Children's Hospital San Diego,32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT01281475,Boston Children's Hospital,A Phase 2 Randomized Placebo-Controlled Trial of Levodopa in Angelman Syndrome,2011-01-20,2015-07,COMPLETED,"Rady Children's Hospital, San Diego",32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT00348933,"University of California, San Diego",Efficacy of a Therapeutic Treatment Trial in Angelman Syndrome,2006-07-03,2010-02,COMPLETED,Rady Children's Hospital San Diego,32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT04103333,Biogen,A Study to Explore Cerebrospinal Fluid and Blood Biomarkers in Participants With Angelman Syndrome,2019-09-24,2022-01-02,COMPLETED,Rady Childrens Hospital,32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT02996305,Ovid Therapeutics Inc.,"A Phase 2 Adult and Adolescent Angelman Syndrome Clinical Trial: A Randomized, Double-Blind, Safety and Efficacy Study of Gaboxadol",2016-12-02,2018-08-06,COMPLETED,Ovid Therapeutics Investigative Site,32.71533,-117.15726,San Diego,California,32123,United States,"San Diego, California, United States",Ovid Therapeutics Investigative Site,"San Diego, California, United States"
NCT04507997,Boston Children's Hospital,Angelman Syndrome Natural History Study,2020-08-05,2025-08,RECRUITING,"Rady Children's Hospital, San Diego",32.71533,-117.15726,San Diego,California,92123,United States,"San Diego, California, United States","University of California, San Diego - Rady Children's Hospital","San Diego, California, United States"
NCT02670694,Baylor College of Medicine,"Sleep Abnormalities in Rare Genetic Disorders: Angelman Syndrome, Rett Syndrome, and Prader Willi",2015-11-06,2013-07,COMPLETED,University of Florida College of Medicine,29.65163,-82.32483,Gainesville,Florida,32601,United States,"Gainesville, Florida, United States",University of Florida College of Medicine,"Gainesville, Florida, United States"
NCT02996305,Ovid Therapeutics Inc.,"A Phase 2 Adult and Adolescent Angelman Syndrome Clinical Trial: A Randomized, Double-Blind, Safety and Efficacy Study of Gaboxadol",2016-12-02,2018-08-06,COMPLETED,Ovid Therapeutics Investigative Site,29.65163,-82.32483,Gainesville,Florida,,United States,"Gainesville, Florida, United States",Ovid Therapeutics Investigative Site,"Gainesville, Florida, United States"
NCT02670694,Baylor College of Medicine,"Sleep Abnormalities in Rare Genetic Disorders: Angelman Syndrome, Rett Syndrome, and Prader Willi",2015-11-06,2013-07,COMPLETED,Kansas University Medical Center,39.11417,-94.62746,Kansas City,Kansas,66160,United States,"Kansas City, Kansas, United States",Kansas University Medical Center,"Kansas City, Kansas, United States"
NCT02670694,Baylor College of Medicine,"Sleep Abnormalities in Rare Genetic Disorders: Angelman Syndrome, Rett Syndrome, and Prader Willi",2015-11-06,2013-07,COMPLETED,Children's Hospital Boston,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT06617429,Ultragenyx Pharmaceutical Inc,"A Phase 3, Randomized, Double-blind, Sham-controlled Study Investigating the Efficacy and Safety of GTX-102 in Pediatric Subjects with Angelman Syndrome",2024-09-24,2027-11,RECRUITING,Clinical Trial Site,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Clinical Trial Site,"Boston, Massachusetts, United States"
NCT05630066,Hoffmann-La Roche,"A Phase IIa Multicenter, Open-Label, 12-Week Study to Investigate the Pharmacokinetics and Safety and to Provide Proof of Mechanism of Alogabat in Children and Adolescents Aged 5-17 Years With Angelman Syndrome (AS) With Deletion Genotype",2022-11-09,2025-09-12,RECRUITING,Boston Children's Hospital,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT05127226,"Ionis Pharmaceuticals, Inc.","HALOS: A Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Intrathecally Administered ION582 in Patients With Angelman Syndrome",2021-11-09,2029-03,ACTIVE_NOT_RECRUITING,Boston Children's Hospital,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT04106557,Ovid Therapeutics Inc.,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Phase 3 Study to Evaluate the Efficacy and Safety of OV101 in Pediatric Individuals With Angelman Syndrome",2019-09-25,2020-11-02,COMPLETED,Ovid Therapeutics Investigative Site,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Ovid Therapeutics Investigative Site,"Boston, Massachusetts, United States"
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,Boston Children's Hospital,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT00829439,Boston Children's Hospital,A Dose-escalation Tolerability Study of Levodopa/Carbidopa in Angelman Syndrome,2009-01-26,2010-06,COMPLETED,Children's Hospital Boston,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,Boston Children's Hospital,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT03882918,Ovid Therapeutics Inc.,"An Open-Label Study to Evaluate the Long-Term Safety, Tolerability, and Efficacy of OV101 in Individuals With Angelman Syndrome",2019-03-18,2021-06-30,TERMINATED,Ovid Therapeutics Investigative Site,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Ovid Therapeutics Investigative Site,"Boston, Massachusetts, United States"
NCT00296764,Boston Children's Hospital,Angelman Syndrome Natural History Study,2006-02-24,2014-08,COMPLETED,Boston Children's Hospital,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT01281475,Boston Children's Hospital,A Phase 2 Randomized Placebo-Controlled Trial of Levodopa in Angelman Syndrome,2011-01-20,2015-07,COMPLETED,Children's Hospital Boston,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT00348933,"University of California, San Diego",Efficacy of a Therapeutic Treatment Trial in Angelman Syndrome,2006-07-03,2010-02,COMPLETED,Children's Hospital Boston,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT04103333,Biogen,A Study to Explore Cerebrospinal Fluid and Blood Biomarkers in Participants With Angelman Syndrome,2019-09-24,2022-01-02,COMPLETED,Boston Children's Hospital,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT02996305,Ovid Therapeutics Inc.,"A Phase 2 Adult and Adolescent Angelman Syndrome Clinical Trial: A Randomized, Double-Blind, Safety and Efficacy Study of Gaboxadol",2016-12-02,2018-08-06,COMPLETED,Ovid Therapeutics Investigative Site,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Ovid Therapeutics Investigative Site,"Boston, Massachusetts, United States"
NCT04507997,Boston Children's Hospital,Angelman Syndrome Natural History Study,2020-08-05,2025-08,RECRUITING,Boston Children's Hospital,42.35843,-71.05977,Boston,Massachusetts,02115,United States,"Boston, Massachusetts, United States",Children's Hospital Boston,"Boston, Massachusetts, United States"
NCT02670694,Baylor College of Medicine,"Sleep Abnormalities in Rare Genetic Disorders: Angelman Syndrome, Rett Syndrome, and Prader Willi",2015-11-06,2013-07,COMPLETED,Greenwood Genetic Center,34.1954,-82.16179,Greenwood,South Carolina,29646,United States,"Greenwood, South Carolina, United States",Greenwood Genetics Center,"Greenwood, South Carolina, United States"
NCT00296764,Boston Children's Hospital,Angelman Syndrome Natural History Study,2006-02-24,2014-08,COMPLETED,Greenwood Genetic Center,34.1954,-82.16179,Greenwood,South Carolina,29646,United States,"Greenwood, South Carolina, United States",Greenwood Genetics Center,"Greenwood, South Carolina, United States"
NCT01281475,Boston Children's Hospital,A Phase 2 Randomized Placebo-Controlled Trial of Levodopa in Angelman Syndrome,2011-01-20,2015-07,COMPLETED,Greenwood Genetic Center,34.1954,-82.16179,Greenwood,South Carolina,29646,United States,"Greenwood, South Carolina, United States",Greenwood Genetics Center,"Greenwood, South Carolina, United States"
NCT00348933,"University of California, San Diego",Efficacy of a Therapeutic Treatment Trial in Angelman Syndrome,2006-07-03,2010-02,COMPLETED,Greenwood Genetics Center,34.1954,-82.16179,Greenwood,South Carolina,,United States,"Greenwood, South Carolina, United States",Greenwood Genetics Center,"Greenwood, South Carolina, United States"
NCT02996305,Ovid Therapeutics Inc.,"A Phase 2 Adult and Adolescent Angelman Syndrome Clinical Trial: A Randomized, Double-Blind, Safety and Efficacy Study of Gaboxadol",2016-12-02,2018-08-06,COMPLETED,Ovid Therapeutics Investigative Site,34.1954,-82.16179,Greenwood,South Carolina,,United States,"Greenwood, South Carolina, United States",Ovid Therapeutics Investigative Site,"Greenwood, South Carolina, United States"
NCT02670694,Baylor College of Medicine,"Sleep Abnormalities in Rare Genetic Disorders: Angelman Syndrome, Rett Syndrome, and Prader Willi",2015-11-06,2013-07,COMPLETED,Vanderbilt University,36.16589,-86.78444,Nashville,Tennessee,37240,United States,"Nashville, Tennessee, United States",Vanderbilt University Medical Center,"Nashville, Tennessee, United States"
NCT05630066,Hoffmann-La Roche,"A Phase IIa Multicenter, Open-Label, 12-Week Study to Investigate the Pharmacokinetics and Safety and to Provide Proof of Mechanism of Alogabat in Children and Adolescents Aged 5-17 Years With Angelman Syndrome (AS) With Deletion Genotype",2022-11-09,2025-09-12,RECRUITING,Vanderbilt Children's Hospital,36.16589,-86.78444,Nashville,Tennessee,37232-9119,United States,"Nashville, Tennessee, United States",Monroe Carell Jr. Children's Hospital at Vanderbilt,"Nashville, Tennessee, United States"
NCT04106557,Ovid Therapeutics Inc.,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Phase 3 Study to Evaluate the Efficacy and Safety of OV101 in Pediatric Individuals With Angelman Syndrome",2019-09-25,2020-11-02,COMPLETED,Ovid Therapeutics Investigative Site,36.16589,-86.78444,Nashville,Tennessee,37212,United States,"Nashville, Tennessee, United States",Ovid Therapeutics Investigative Site,"Nashville, Tennessee, United States"
NCT01906866,Neurim Pharmaceuticals Ltd.,"A Randomized, Placebo-controlled Study to Investigate the Efficacy and Safety of Circadin® to Alleviate Sleep Disturbances in Children With Neurodevelopmental Disabilities",2013-07-11,2018-03-27,COMPLETED,Vanderbilt University,36.16589,-86.78444,Nashville,Tennessee,37240,United States,"Nashville, Tennessee, United States",Vanderbilt University Medical Center,"Nashville, Tennessee, United States"
NCT03882918,Ovid Therapeutics Inc.,"An Open-Label Study to Evaluate the Long-Term Safety, Tolerability, and Efficacy of OV101 in Individuals With Angelman Syndrome",2019-03-18,2021-06-30,TERMINATED,Ovid Therapeutics Investigative Site,36.16589,-86.78444,Nashville,Tennessee,37212,United States,"Nashville, Tennessee, United States",Ovid Therapeutics Investigative Site,"Nashville, Tennessee, United States"
NCT00296764,Boston Children's Hospital,Angelman Syndrome Natural History Study,2006-02-24,2014-08,COMPLETED,Vanderbilt University Medical Center,36.16589,-86.78444,Nashville,Tennessee,37212,United States,"Nashville, Tennessee, United States",Vanderbilt University Medical Center,"Nashville, Tennessee, United States"
NCT01281475,Boston Children's Hospital,A Phase 2 Randomized Placebo-Controlled Trial of Levodopa in Angelman Syndrome,2011-01-20,2015-07,COMPLETED,Vanderbilt University Medical Center,36.16589,-86.78444,Nashville,Tennessee,37212,United States,"Nashville, Tennessee, United States",Vanderbilt University Medical Center,"Nashville, Tennessee, United States"
NCT04103333,Biogen,A Study to Explore Cerebrospinal Fluid and Blood Biomarkers in Participants With Angelman Syndrome,2019-09-24,2022-01-02,COMPLETED,Vanderbilt University Medical Center,36.16589,-86.78444,Nashville,Tennessee,37212,United States,"Nashville, Tennessee, United States",Vanderbilt University Medical Center,"Nashville, Tennessee, United States"
