NCT_ID,Sponsor,Study_Name,Start_Date,End_Date,Current_Status,Treatment,Facility,Lat,Lon
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,BC Children's Hospital,49.24966,-123.11934
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,BC Children's Hospital,49.24966,-123.11934
NCT06079736,PepGen Inc,"A Phase 2, Open-Label, Multiple Ascending Dose Study of PGN-EDO51 With a Long-Term Extension in Participants With Duchenne Muscular Dystrophy Amenable to Exon 51-Skipping Treatment (CONNECT1-EDO51)",2023-09-29,2027-11,RECRUITING,ASO,BC Children's Hospital,49.24966,-123.11934
NCT06642662,Boston Children's Hospital,Exploring Precision Medicine in the CICU: Feasibility of Proteomic Biomarkers,2024-10-09,2026-12,NOT_YET_RECRUITING,ASO,Boston Children's Hospital,42.35843,-71.05977
NCT04740476,"Stoke Therapeutics, Inc",An Open-Label Extension Study for Patients With Dravet Syndrome Who Previously Participated in Studies of STK-001,2021-02-02,2027-03-03,ENROLLING_BY_INVITATION,ASO,Massachusetts General Hospital,42.35843,-71.05977
NCT06415344,Ultragenyx Pharmaceutical Inc,A Long-term Extension Trial Investigating the Safety and Efficacy of GTX-102 in Patients with Angelman Syndrome,2024-05-10,2029-02,ENROLLING_BY_INVITATION,ASO,Boston Children's Hospital,42.35843,-71.05977
NCT03225846,Wave Life Sciences Ltd.,"A Multicenter, Randomized, Double-blind, Placebo-controlled, Phase 1b/2a Study of WVE-120102 Administered Intrathecally in Patients With Huntington's Disease",2017-07-17,2021-05-10,TERMINATED,ASO,Massachusetts General Hospital,42.35843,-71.05977
NCT04259281,Ultragenyx Pharmaceutical Inc,"A Phase 1/2 Open-label, Multiple-dose, Dose-escalating Clinical Trial of the Safety and Tolerability of GTX-102 in Pediatric Patients With Angelman Syndrome (AS)",2020-01-31,2024-12,ACTIVE_NOT_RECRUITING,ASO,Boston Children's Hospital,42.35843,-71.05977
NCT02532764,ProQR Therapeutics,"Phase 1b, Randomized, Double-blind, Placebo-controlled, Dose Escalation Study to Evaluate the Safety, Tolerability and Pharmacokinetics of QR-010 in Subjects With Homozygous ΔF508 Cystic Fibrosis",2015-08-13,2017-09-14,COMPLETED,ASO,Massachusetts General Hospital,42.35843,-71.05977
NCT02532764,ProQR Therapeutics,"Phase 1b, Randomized, Double-blind, Placebo-controlled, Dose Escalation Study to Evaluate the Safety, Tolerability and Pharmacokinetics of QR-010 in Subjects With Homozygous ΔF508 Cystic Fibrosis",2015-08-13,2017-09-14,COMPLETED,ASO,Boston Children's Hospital,42.35843,-71.05977
NCT02353351,Abbott Medical Devices,Closure of Atrial Septal Defects With the AMPLATZER™ Septal Occluder (ASO) Post Market Surveillance Study,2014-12-02,2017-02-24,TERMINATED,ASO,Boston Children's Hospital,42.35843,-71.05977
NCT02353351,Abbott Medical Devices,Closure of Atrial Septal Defects With the AMPLATZER™ Septal Occluder (ASO) Post Market Surveillance Study,2014-12-02,2017-02-24,TERMINATED,ASO,Children's Hospital Los Angeles,34.05223,-118.24368
NCT06609889,University of Texas Southwestern Medical Center,A Phase 1/2 Open Label Study to Evaluate the Safety and Efficacy of Intrathecally Administered ION283 in Patients With Lafora Disease,2024-08-10,2028-10,RECRUITING,ASO,Children's Health Dallas,32.78306,-96.80667
NCT04740476,"Stoke Therapeutics, Inc",An Open-Label Extension Study for Patients With Dravet Syndrome Who Previously Participated in Studies of STK-001,2021-02-02,2027-03-03,ENROLLING_BY_INVITATION,ASO,Children's Health Colorado,39.72943,-104.83192
NCT03605069,Phoenicis Therapeutics,"A First in Human, Double-blind, Randomized, Intra-subject Placebo-controlled, Multiple Dose Study of QR-313 Evaluating Safety, Proof of Mechanism, Preliminary Efficacy and Systemic Exposure in Subjects With DDEB or RDEB Due to Mutation(s) in Exon 73 of the COL7A1 Gene",2018-06-25,2018-12-17,TERMINATED,ASO,Children's Health Colorado,39.72943,-104.83192
NCT06565572,"University of Colorado, Denver","An Open-label Single Center, Single Participant Study of an Experimental Antisense Oligonucleotide Treatment for PCARP (Posterior Column Ataxia with Retinitis Pigmentosa) Disease Due to Mutations in FLVCR1",2023-08-09,2028-12-31,ENROLLING_BY_INVITATION,ASO,Children's Health Colorado,39.72943,-104.83192
NCT04442295,"Stoke Therapeutics, Inc",An Open-Label Study to Investigate the Safety and Pharmacokinetics of Single and Multiple Ascending Doses of Antisense Oligonucleotide STK-001 in Children and Adolescents With Dravet Syndrome,2020-06-08,2024-04-03,COMPLETED,ASO,Children's Health Colorado,39.72943,-104.83192
