,pmid,journal,journal_abbrv,pub_year,institution
0,39847371,JAMA,JAMA,2025,"Miga Health, San Francisco, California."
1,39798888,Protein expression and purification,Protein Expr Purif,2025,"Protein Processing Section, Center for Structural Biology, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Frederick, MD, 21702, USA."
2,39797819,Chembiochem : a European journal of chemical biology,Chembiochem,2025,"Departments of Biology and Chemistry, Konstanz Research School Chemical Biology, University of Konstanz, Universitätsstraße 10, 78467, Konstanz, Germany."
3,39780436,American journal of medical genetics. Part A,Am J Med Genet A,2025,"Department of Pediatrics, Aichi Prefecture Mikawa Aoitori Medical and Rehabilitation Center for Developmental Disabilities, Okazaki, Japan."
4,39766813,Genes,Genes (Basel),2024,"Centro de Genética Médica, Instituto Nacional da Saúde da Mulher, da Criança e do Adolescente Fernandes Figueira-Fundação Oswaldo Cruz, Rio de Janeiro 22250-020, Brazil."
5,39756651,The Journal of molecular diagnostics : JMD,J Mol Diagn,2025,"Department of Laboratories, Seattle Children's Hospital, Seattle, Washington; Department of Laboratory Medicine and Pathology, University of Washington and Seattle Children's Hospital, Seattle, Washington."
6,39742997,The Journal of biological chemistry,J Biol Chem,2024,"Department of Molecular Biology and Biophysics, UCONN Health, Farmington, Connecticut, USA."
7,39726042,Molecular autism,Mol Autism,2024,"Neuroscience Center, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA."
8,39725401,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,Zhongguo Dang Dai Er Ke Za Zhi,2024,"Department of Neurology, Children's Hospital Affiliated to Zhengzhou University, Zhengzhou 450000, China."
9,39721588,American journal of human genetics,Am J Hum Genet,2025,"Department of Genetics, CHU Sainte-Justine, Montréal, QC, Canada."
10,39695767,Cell communication and signaling : CCS,Cell Commun Signal,2024,"School of Life Sciences, Henan University, Kaifeng, Henan Province, China."
11,39693035,Journal of assisted reproduction and genetics,J Assist Reprod Genet,2024,"Department of Human Genetic, Altamedica, Rome, Italy. marco.fabiani@artemisia.it."
12,39679858,American journal of medical genetics. Part A,Am J Med Genet A,2024,"UCSD, San Diego, California, USA."
13,39668309,Basic & clinical pharmacology & toxicology,Basic Clin Pharmacol Toxicol,2025,"Department of Drug Design and Pharmacology, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark."
14,39620615,Journal of pediatric ophthalmology and strabismus,J Pediatr Ophthalmol Strabismus,2024,
15,39584973,Clocks & sleep,Clocks Sleep,2024,"Chion Foundation, Oak Park, IL 60304, USA."
16,39537351,Journal of medical genetics,J Med Genet,2024,"Canada's Michael Smith Genome Sciences Centre, Vancouver, British Columbia, Canada."
17,39528279,Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,2024,"Institute of Medical Genetics, Zhengzhou University People's Hospital, Henan Provincial People's Hospital, Zhengzhou, Henan 450003, China. wanglily@zzu.edu.cn."
18,39511336,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Neuropsychopharmacology,2024,"Department of Psychiatry and Behavioral Sciences, MIND Institute, University of California Davis School of Medicine, 4625 2nd Avenue Suite 1001A, Sacramento, CA, 95817, USA."
19,39497315,Journal of Alzheimer's disease : JAD,J Alzheimers Dis,2024,"Department of Molecular Pharmacology and Physiology, College of Medicine, University of South Florida, Tampa, FL, USA."
20,39485792,PloS one,PLoS One,2024,"Department of Genetics and Genome Sciences, University of Connecticut School of Medicine, Farmington, CT, United States of America."
21,39486407,Stem cell reports,Stem Cell Reports,2024,"The Azrieli Center for Stem Cells and Genetic Research, Institute of Life Sciences, The Hebrew University, Jerusalem 91904, Israel; Department of Genetics, Institute of Life Sciences, The Hebrew University, Jerusalem 91904, Israel."
22,39481590,Progress in neurobiology,Prog Neurobiol,2024,"Department of Biology, University of Naples Federico II, Naples, Italy; College of Osteopathic Medicine of the Pacific, Western University of Health Sciences, Pomona, USA. Electronic address: amelia.pizzella@unina.it."
23,39475132,Endokrynologia Polska,Endokrynol Pol,2024,"The First Clinical Medical College, Jinan University, Guangzhou, China."
24,39445691,ACS nano,ACS Nano,2024,"Center for Surgical Bioengineering, Department of Surgery, School of Medicine, University of California, Davis, Sacramento, California 95817, United States."
25,39431203,Brain and neuroscience advances,Brain Neurosci Adv,2024,"Centre for Clinical Brain Sciences, The University of Edinburgh, Edinburgh, UK."
26,39406643,Disability and health journal,Disabil Health J,2024,"University of Technology Sydney, Ultimo, NSW, Australia."
27,39404600,eLife,Elife,2024,
28,39404036,Revista de neurologia,Rev Neurol,2024,"Hospital Universitario Puerta de Hierro-Majadahonda, Madrid, España."
29,39401893,Experimental animals,Exp Anim,2024,"Laboratory for Genomic Sciences, Department of Life Science, Chiba Institute of Technology."
30,39395123,Journal of autism and developmental disorders,J Autism Dev Disord,2024,"Erasmus MC Center of Expertise for Neurodevelopmental Disorders (ENCORE), Erasmus MC, Rotterdam, The Netherlands."
31,39369220,Clinical epigenetics,Clin Epigenetics,2024,"Department of Molecular Endocrinology, National Research Institute for Child Health and Development, 2-10-1 Okura, Setagaya-Ku, Tokyo, 157-8535, Japan."
32,39367606,Molecular therapy : the journal of the American Society of Gene Therapy,Mol Ther,2024,"UNC Neuroscience Center, The University of North Carolina at Chapel Hill, Chapel Hill, NC, USA."
33,39365098,Epigenomics,Epigenomics,2024,"Department of Paediatrics, Monash University, Melbourne, VIC, 3168, Australia."
34,39363392,Prenatal diagnosis,Prenat Diagn,2024,"Helen Schneider Hospital for Women, Rabin Medical Center, Petach Tikva, Israel."
35,39331770,Medicina,Medicina (B Aires),2024,"Departamento de Neurología Pediátrica, Children's Hospital of Eastern Ontario, Canadá. E-mail: esell@cheo.on.ca."
36,39312066,Molecular neurobiology,Mol Neurobiol,2024,"Neurobiology of Disease Laboratory, Department of Bioscience and Biotechnology, Indian Institute of Technology, Kharagpur, 721302, India."
37,39293689,Neurobiology of disease,Neurobiol Dis,2024,"IRCCS Humanitas Research Hospital, via Manzoni 56, Rozzano 20089, MI, Italy."
38,39286313,Frontiers in molecular neuroscience,Front Mol Neurosci,2024,"Centre for Discovery Brain Sciences, University of Edinburgh, Edinburgh, United Kingdom."
39,39285194,Cell discovery,Cell Discov,2024,"School of Life Science and Technology, Shanghai Tech University, Shanghai, China."
40,39282421,bioRxiv : the preprint server for biology,bioRxiv,2024,"Department of Neurobiology and Behavior, Charlie Dunlop School of Biological Sciences, University of California, Irvine, CA 92697, USA."
41,39222563,Sleep medicine,Sleep Med,2024,"Irish Centre for Autism and Neurodevelopmental Research, School of Psychology, University of Galway, Galway, Ireland."
42,39222411,Brain : a journal of neurology,Brain,2025,"Research Center on Aging, Centre Intégré Universitaire de Santé et Services Sociaux de l'Estrie-Centre Hospitalier Universitaire de Sherbrooke, Sherbrooke, QC J1H 4C4, Canada."
43,39197537,Neurobiology of disease,Neurobiol Dis,2024,"Department of Biological Sciences, University of Alabama, Tuscaloosa, AL, United States of America."
44,39193956,Clinical laboratory,Clin Lab,2024,
45,39175208,Epilepsia open,Epilepsia Open,2024,"Neurology, Epilepsy and Movement Disorders Unit, Full Member of European Reference Network EpiCARE, Bambino Gesù Children's Hospital, IRCCS, Rome, Italy."
46,39174987,Orphanet journal of rare diseases,Orphanet J Rare Dis,2024,"Faculty of Medicine, Medical University of Silesia, Katowice, Poland."
47,39169619,HGG advances,HGG Adv,2024,"Department of Pediatrics and Neonatology, Nagoya City University Graduate School of Medical Sciences, Nagoya 467-8601, Japan."
48,39168152,Neuropediatrics,Neuropediatrics,2024,"Division of Pediatric Neurology, Developmental Medicine and Social Pediatrics, Department of Pediatrics, Dr. von Hauner Children's Hospital, University Hospital, Ludwig Maximilian University Munich, Munich, Germany."
49,39149488,Research square,Res Sq,2024,"Neuroscience Center, University of North Carolina at Chapel Hill, Chapel Hill, NC."
50,39126903,Current opinion in neurobiology,Curr Opin Neurobiol,2024,"Department of Cell Biology & Physiology, University of North Carolina, Chapel Hill, NC, USA; Neuroscience Center, University of North Carolina, Chapel Hill, NC, USA."
51,39109879,The Journal of craniofacial surgery,J Craniofac Surg,2024,"Department of Plastic Surgery, UC Irvine School of Medicine."
52,39108836,Frontiers in cell and developmental biology,Front Cell Dev Biol,2024,"Department of Biochemistry and Medical Genetics, Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba, Winnipeg, MB, Canada."
53,39095842,Clinical epigenetics,Clin Epigenetics,2024,"Institute for Human Genetics, University Medical Center of the Johannes Gutenberg University Mainz, Mainz, Germany."
54,39054162,Trends in neurosciences,Trends Neurosci,2024,"Chronobiology and Sleep Institute, Perelman Medical School of University of Pennsylvania, Philadelphia, PA, USA."
55,39049050,Molecular autism,Mol Autism,2024,"Sagol Department of Neurobiology, Faculty of Natural Sciences, University of Haifa, Haifa, 3103301, Israel."
56,39045627,Human molecular genetics,Hum Mol Genet,2024,"Genome Center, Department of Biochemistry and Molecular Medicine, University of California Davis, 451 Health Sciences Dr., Davis, CA 95616, United States."
57,39033100,Journal of neurodevelopmental disorders,J Neurodev Disord,2024,"Department of Pediatrics, Vanderbilt University Medical Center, Nashville, USA. sarika.u.peters@vumc.org."
58,39014349,Journal of neurodevelopmental disorders,J Neurodev Disord,2024,"Department of Neurology and Semel Institute for Neuroscience, David Geffen School of Medicine, 710 Westwood Plaza, Los Angeles, CA, 90095, USA. vidyasaravanapandian@gmail.com."
59,39011107,Research square,Res Sq,2024,"Department of Genetics, Yale University School of Medicine, 333 Cedar St, New Haven, CT 06520, USA."
60,38996019,Science advances,Sci Adv,2024,"Functional Neuroimaging Laboratory, Istituto Italiano di Tecnologia, Center for Neuroscience and Cognitive Systems, CNCS@UNITN, Rovereto, Italy."
61,38977672,Nature communications,Nat Commun,2024,"Department of Cell Biology and Physiology, Neuroscience Center, and Carolina Institute for Developmental Disabilities, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA."
62,38930051,Journal of clinical medicine,J Clin Med,2024,"FROM Research Foundation ETS, Papa Giovanni XXIII Hospital, 24127 Bergamo, Italy."
63,38922630,JAMA psychiatry,JAMA Psychiatry,2024,"Institute of Biological Psychiatry, Mental Health Services, Copenhagen University Hospital, Roskilde, Denmark."
64,38922486,Molecular neurobiology,Mol Neurobiol,2025,"Department of Children's Health, Chenzhou First People's Hospital, No. 6, Feihong Road, Suxian District, Chenzhou, 423000, Hunan, China."
65,38901755,Experimental neurology,Exp Neurol,2024,"Department of Molecular Biology, Cell Biology and Biochemistry, Center for Translational Neuroscience, Carney Institute for Brain Science, Brown University, Providence, RI, United States."
66,38895218,bioRxiv : the preprint server for biology,bioRxiv,2024,
67,38879552,Journal of neurodevelopmental disorders,J Neurodev Disord,2024,"Department of Psychiatry and Behavioral Services, Boston Children's Hospital, Harvard Medical School, Boston, MA, USA. Anjali.sadhwani@childrens.harvard.edu."
68,38873093,Frontiers in neuroanatomy,Front Neuroanat,2024,"Neuroscience Center, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States."
69,38843694,Stem cell research,Stem Cell Res,2024,"Department of Human and Animal Cell Lines, Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures GmbH, Braunschweig, Germany."
70,38837855,Epilepsia open,Epilepsia Open,2024,"Pediatric Neurology Department, Faculty of Medical Sciences, Medical University of Silesia, Katowice, Poland."
