locationId,location,iso3,timeLabel,sex,ageId,total_population,angels_0-4,angels_11-17,angels_18+,angels_5-10,angels_Total,angels_color
4,Afghanistan,AFG,2023,Both sexes,188,41454761,444.0,469.0,1378.0,472.0,2764.0,7.92443418488756
8,Albania,ALB,2023,Both sexes,188,2811655,10.0,15.0,149.0,13.0,187.0,5.231108616854587
12,Algeria,DZA,2023,Both sexes,188,46164219,317.0,376.0,1988.0,396.0,3078.0,8.032035314398824
16,American Samoa,ASM,2023,Both sexes,188,47521,0.0,0.0,2.0,0.0,3.0,1.0986122886681098
20,Andorra,AND,2023,Both sexes,188,80856,0.0,0.0,5.0,0.0,5.0,1.6094379124341003
24,Angola,AGO,2023,Both sexes,188,36749906,415.0,407.0,1197.0,431.0,2450.0,7.803843303538772
28,Antigua and Barbuda,ATG,2023,Both sexes,188,93316,0.0,1.0,5.0,0.0,6.0,1.791759469228055
31,Azerbaijan,AZE,2023,Both sexes,188,10318207,45.0,76.0,504.0,64.0,688.0,6.5337888379333435
32,Argentina,ARG,2023,Both sexes,188,45538401,183.0,339.0,2220.0,293.0,3036.0,8.01829613851552
36,Australia,AUS,2023,Both sexes,188,26451124,102.0,152.0,1381.0,128.0,1763.0,7.47477218239787
40,Austria,AUT,2023,Both sexes,188,9130429,28.0,40.0,504.0,36.0,609.0,6.411818267709897
44,Bahamas,BHS,2023,Both sexes,188,399440,1.0,3.0,21.0,2.0,27.0,3.295836866004329
48,Bahrain,BHR,2023,Both sexes,188,1569666,6.0,9.0,81.0,8.0,105.0,4.653960350157523
50,Bangladesh,BGD,2023,Both sexes,188,171466990,1100.0,1572.0,7501.0,1258.0,11431.0,9.344084242025778
51,Armenia,ARM,2023,Both sexes,188,2943393,12.0,18.0,150.0,16.0,196.0,5.278114659230517
52,Barbados,BRB,2023,Both sexes,188,282336,1.0,2.0,15.0,1.0,19.0,2.9444389791664403
56,Belgium,BEL,2023,Both sexes,188,11712893,39.0,64.0,627.0,52.0,781.0,6.660575149839686
60,Bermuda,BMU,2023,Both sexes,188,64698,0.0,0.0,4.0,0.0,4.0,1.3862943611198906
64,Bhutan,BTN,2023,Both sexes,188,786385,3.0,6.0,38.0,5.0,52.0,3.9512437185814275
68,Bolivia (Plurinational State of),BOL,2023,Both sexes,188,12244160,83.0,112.0,523.0,98.0,816.0,6.704414354964107
70,Bosnia and Herzegovina,BIH,2023,Both sexes,188,3185073,9.0,15.0,178.0,11.0,212.0,5.356586274672012
72,Botswana,BWA,2023,Both sexes,188,2480244,20.0,23.0,102.0,21.0,165.0,5.10594547390058
76,Brazil,BRA,2023,Both sexes,188,211140729,891.0,1368.0,10673.0,1144.0,14076.0,9.552226498441476
84,Belize,BLZ,2023,Both sexes,188,411106,2.0,3.0,18.0,3.0,27.0,3.295836866004329
90,Solomon Islands,SLB,2023,Both sexes,188,800006,7.0,8.0,30.0,8.0,53.0,3.970291913552122
92,British Virgin Islands,VGB,2023,Both sexes,188,38985,0.0,0.0,2.0,0.0,3.0,1.0986122886681098
96,Brunei Darussalam,BRN,2023,Both sexes,188,458948,2.0,3.0,23.0,3.0,31.0,3.4339872044851463
100,Bulgaria,BGR,2023,Both sexes,188,6795803,21.0,32.0,374.0,27.0,453.0,6.115892125483034
104,Myanmar,MMR,2023,Both sexes,188,54133798,295.0,410.0,2548.0,356.0,3609.0,8.19118600464279
108,Burundi,BDI,2023,Both sexes,188,13689450,144.0,167.0,434.0,167.0,913.0,6.816735880594968
112,Belarus,BLR,2023,Both sexes,188,9115680,27.0,49.0,487.0,45.0,608.0,6.410174881966167
116,Cambodia,KHM,2023,Both sexes,188,17423880,121.0,155.0,746.0,140.0,1162.0,7.057897937411856
120,Cameroon,CMR,2023,Both sexes,188,28372687,293.0,311.0,976.0,313.0,1892.0,7.545389749611823
124,Canada,CAN,2023,Both sexes,188,39299104,125.0,198.0,2134.0,163.0,2620.0,7.8709295967551425
132,Cabo Verde,CPV,2023,Both sexes,188,522330,3.0,5.0,24.0,4.0,35.0,3.5553480614894135
